==287810== NVPROF is profiling process 287810, command: ./CUPTI_sender 0 1 102400000 10
Current TSC: 581317798038136
Iteration time: 5672 microseconds
Iteration time: 76 microseconds
Iteration time: 72 microseconds
Iteration time: 5652 microseconds
Iteration time: 72 microseconds
Iteration time: 71 microseconds
Iteration time: 71 microseconds
Iteration time: 88 microseconds
Iteration time: 71 microseconds
Iteration time: 5651 microseconds
Iteration time: 5650 microseconds
Iteration time: 5650 microseconds
Iteration time: 72 microseconds
Iteration time: 5651 microseconds
Iteration time: 5649 microseconds
Iteration time: 5651 microseconds
Iteration time: 72 microseconds
Iteration time: 71 microseconds
Iteration time: 5650 microseconds
Iteration time: 5664 microseconds
Iteration time: 5688 microseconds
Iteration time: 5666 microseconds
Iteration time: 5653 microseconds
Iteration time: 75 microseconds
Iteration time: 71 microseconds
Iteration time: 5651 microseconds
Iteration time: 90 microseconds
Iteration time: 55 microseconds
Iteration time: 72 microseconds
Iteration time: 71 microseconds
Iteration time: 5651 microseconds
Iteration time: 5651 microseconds
Iteration time: 72 microseconds
Iteration time: 5650 microseconds
Iteration time: 72 microseconds
Iteration time: 71 microseconds
Iteration time: 70 microseconds
Iteration time: 71 microseconds
Iteration time: 71 microseconds
Iteration time: 70 microseconds
Iteration time: 5650 microseconds
Iteration time: 5650 microseconds
Iteration time: 73 microseconds
Iteration time: 5651 microseconds
Iteration time: 72 microseconds
Iteration time: 5650 microseconds
Iteration time: 72 microseconds
Iteration time: 5651 microseconds
Iteration time: 5652 microseconds
Iteration time: 5651 microseconds
Iteration time: 72 microseconds
Iteration time: 71 microseconds
Iteration time: 5650 microseconds
Iteration time: 5652 microseconds
Iteration time: 77 microseconds
Iteration time: 5653 microseconds
Iteration time: 72 microseconds
Iteration time: 5653 microseconds
Iteration time: 5653 microseconds
Iteration time: 72 microseconds
Iteration time: 5651 microseconds
Iteration time: 74 microseconds
Iteration time: 72 microseconds
Iteration time: 5653 microseconds
Iteration time: 73 microseconds
Iteration time: 71 microseconds
