Current TSC: 861956881045835
Iteration time: 69 microseconds
Iteration time: 31 microseconds
Iteration time: 63 microseconds
Iteration time: 63 microseconds
Iteration time: 13 microseconds
Iteration time: 11 microseconds
Iteration time: 63 microseconds
Iteration time: 160 microseconds
Iteration time: 63 microseconds
Iteration time: 13 microseconds
Iteration time: 11 microseconds
Iteration time: 63 microseconds
Iteration time: 11 microseconds
Iteration time: 62 microseconds
Iteration time: 62 microseconds
Iteration time: 11 microseconds
Iteration time: 10 microseconds
Iteration time: 11 microseconds
Iteration time: 11 microseconds
Iteration time: 62 microseconds
Iteration time: 11 microseconds
Iteration time: 11 microseconds
Iteration time: 173 microseconds
Iteration time: 62 microseconds
Iteration time: 13 microseconds
Iteration time: 62 microseconds
Iteration time: 62 microseconds
Iteration time: 24 microseconds
Iteration time: 10 microseconds
Iteration time: 64 microseconds
Iteration time: 11 microseconds
Iteration time: 10 microseconds
Iteration time: 11 microseconds
Iteration time: 11 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 101 microseconds
Iteration time: 11 microseconds
Iteration time: 10 microseconds
Iteration time: 97 microseconds
Iteration time: 11 microseconds
Iteration time: 10 microseconds
Iteration time: 62 microseconds
Iteration time: 11 microseconds
Iteration time: 61 microseconds
Iteration time: 166 microseconds
Iteration time: 70 microseconds
Iteration time: 61 microseconds
Iteration time: 14 microseconds
Iteration time: 62 microseconds
Iteration time: 12 microseconds
Iteration time: 11 microseconds
Iteration time: 62 microseconds
Iteration time: 61 microseconds
Iteration time: 185 microseconds
Iteration time: 62 microseconds
Iteration time: 11 microseconds
Iteration time: 10 microseconds
Iteration time: 62 microseconds
Iteration time: 62 microseconds
Iteration time: 61 microseconds
Iteration time: 11 microseconds
Iteration time: 11 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 101 microseconds
Iteration time: 11 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 12 microseconds
Iteration time: 61 microseconds
Iteration time: 61 microseconds
Iteration time: 101 microseconds
Iteration time: 62 microseconds
Iteration time: 61 microseconds
Iteration time: 11 microseconds
Iteration time: 10 microseconds
Iteration time: 61 microseconds
Iteration time: 11 microseconds
Iteration time: 62 microseconds
Iteration time: 62 microseconds
Iteration time: 191 microseconds
Iteration time: 61 microseconds
Iteration time: 11 microseconds
Iteration time: 10 microseconds
Iteration time: 10 microseconds
Iteration time: 10 microseconds
Iteration time: 10 microseconds
Iteration time: 10 microseconds
Iteration time: 10 microseconds
Iteration time: 10 microseconds
Iteration time: 61 microseconds
Iteration time: 11 microseconds
Iteration time: 11 microseconds
Iteration time: 61 microseconds
