Transfer size (Bit),Transfer_size(Bytes),Transfer size,NVLink Overhead Data Received,NVLink Overhead Data Transmitted,NVLink Receive Throughput,NVLink Total Data Received,NVLink Total Data Transmitted,NVLink Total Nratom Data Transmitted,NVLink Total Ratom Data Transmitted,NVLink Total Response Data Received,NVLink Total Write Data Transmitted,NVLink Transmit Throughput,NVLink User Data Received,NVLink User Data Transmitted,NVLink User Nratom Data Transmitted,NVLink User Ratom Data Transmitted,NVLink User Response Data Received,NVLink User Write Data Transmitted
64,8,2,0.01,0.0089,1,176,304,0,0,0,64,1.717273MB/s,0,32,0,0,0,32
128,16,4,0.01,0.0089,1.01,176,304,0,0,0,64,1.593624MB/s,0,32,0,0,0,32
192,24,6,0.01,0.0089,990.54,176,304,0,0,0,64,1.565688MB/s,0,32,0,0,0,32
256,32,8,0.01,0.0089,1.01,176,288,0,0,0,48,1.485410MB/s,0,32,0,0,0,32
320,40,10,0.01,0.0081,1.07,192,336,0,0,0,96,1.852501MB/s,0,64,0,0,0,64
384,48,12,0.01,0.0081,1.02,192,336,0,0,0,96,1.695357MB/s,0,64,0,0,0,64
448,56,14,0.01,0.0081,985.48,192,336,0,0,0,96,785.032227KB/s,0,64,0,0,0,64
512,64,16,0.01,0.008,1.04,192,320,0,0,0,80,1.721443MB/s,0,64,0,0,0,64
576,72,18,0.01,0.0074,1.12,208,368,0,0,0,128,2.034788MB/s,0,96,0,0,0,96
640,80,20,0.01,0.0074,990.68,208,368,0,0,0,128,2.021520MB/s,0,96,0,0,0,96
704,88,22,0.01,0.0074,1.12,208,368,0,0,0,128,1.991488MB/s,0,96,0,0,0,96
768,96,24,0.01,0.0073,1.05,208,352,0,0,0,112,1.370305MB/s,0,96,0,0,0,96
832,104,26,0.01,0.0068,1.19,224,400,0,0,0,160,2.156487MB/s,0,128,0,0,0,128
896,112,28,0.01,0.0068,1.21,224,400,0,0,0,80,2.141259MB/s,0,128,0,0,0,128
960,120,30,0.01,0.0068,1.26,224,400,0,0,0,160,2.029364MB/s,0,128,0,0,0,128
1024,128,32,0.01,0.0067,1.24,224,384,0,0,0,144,2.123934MB/s,0,128,0,0,0,128
1088,136,34,0.01,0.0064,1.05,192,448,0,0,0,208,2.484090MB/s,0,160,0,0,0,160
1152,144,36,0.01,0.0064,1.06,192,448,0,0,0,208,2.512192MB/s,0,160,0,0,0,160
1216,152,38,0.01,0.0064,1.05,192,448,0,0,0,208,2.517061MB/s,0,160,0,0,0,160
1280,160,40,0.01,0.0063,1.07,192,432,0,0,0,192,2.392812MB/s,0,160,0,0,0,160
1344,168,42,0.01,0.006,1.15,208,480,0,0,0,240,2.546215MB/s,0,192,0,0,0,192
1408,176,44,0.01,0.006,1.13,208,480,0,0,0,240,2.696391MB/s,0,192,0,0,0,192
1472,184,46,0.01,0.006,1.07,208,480,0,0,0,240,2.635976MB/s,0,192,0,0,0,192
1536,192,48,0.01,0.0059,1.12,208,464,0,0,0,224,2.477464MB/s,0,192,0,0,0,192
1600,200,50,0.01,0.0056,1.21,224,512,0,0,0,272,2.317434MB/s,0,224,0,0,0,224
1664,208,52,0.01,0.0056,1.25,224,512,0,0,0,272,2.456217MB/s,0,224,0,0,0,224
1728,216,54,0.01,0.0056,1.23,224,512,0,0,0,272,2.863987MB/s,0,224,0,0,0,224
1792,224,56,0.01,0.0055,1.18,224,496,0,0,0,256,2.782812MB/s,0,112,0,0,0,224
1856,232,58,0.01,0.0053,1.33,240,544,0,0,0,304,2.823272MB/s,0,256,0,0,0,256
