==26498== NVPROF is profiling process 26498, command: ./CUPTI_sender 0 1 10000 1000
==26498== Profiling application: ./CUPTI_sender 0 1 10000 1000
==26498== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Src Dev","Src Ctx","Dst Dev","Dst Ctx","Name","Correlation_ID"
s,us,,,,,,,,B,B,KB,GB/s,,,,,,,,,,,
1.763745,6.208000,,,,,,,,,,39.062500,6.000790,"Pageable","Device","Tesla V100-SXM2-16GB (0)","1","7",,,,,"[CUDA memcpy HtoD]",836
1.770435,6.016000,,,,,,,,,,39.062500,6.192304,"Pageable","Device","Tesla V100-SXM2-16GB (1)","2","26",,,,,"[CUDA memcpy HtoD]",838
3.770832,4.320000,,,,,,,,,,39.062500,8.623357,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",840
3.771989,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",843
3.773154,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",846
3.774303,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",849
3.775451,3.456000,,,,,,,,,,39.062500,10.779196,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",852
3.776599,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",855
3.777736,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",858
3.778875,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",861
3.780012,3.264000,,,,,,,,,,39.062500,11.413267,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",864
3.781147,3.103000,,,,,,,,,,39.062500,12.005447,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",867
3.782283,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",870
3.783447,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",873
3.784572,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",876
3.785719,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",879
3.786858,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",882
3.788006,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",885
3.789172,3.264000,,,,,,,,,,39.062500,11.413267,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",888
3.790299,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",891
3.791436,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",894
3.792572,3.136000,,,,,,,,,,39.062500,11.879114,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",897
3.793722,3.136000,,,,,,,,,,39.062500,11.879114,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",900
3.794871,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",903
3.796021,3.168000,,,,,,,,,,39.062500,11.759123,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",906
3.797172,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",909
3.798308,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",912
3.799443,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",915
3.800582,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",918
3.801719,3.392000,,,,,,,,,,39.062500,10.982578,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",921
3.802853,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",924
3.803992,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",927
3.805130,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",930
3.806291,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",933
3.807419,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",936
